====================================================================================================================================
                                                               S L S                                                                
                                                            version: 3.3                                                            
                                                S I M U L A T I O N   R E S U L T S                                                 
====================================================================================================================================
 time         | c   r   l   l   l   l   l   l   l   l   l   l   l   l   l   n   n   n   n   c   c   c   d   d   d   c   c   d   d   
      25360.0 | 1   0   0   0   0   0   0   0   0   0
      25440.0 | 1   0   0   0   0   0   0   0   0   0
      25520.0 | 1   0   0   0   0   0   0   0   0   0
      25600.0 | 1   0   0   0   0   0   0   0   0   0
      25680.0 | 1   0   0   0   0   0   0   0   0   0
      25760.0 | 1   0   0   0   0   0   0   0   0   0
      25763.0 | 1   0   0   0   0   0   0   0   0   0
      25763.6 | 1   0   0   0   0   0   0   0   0   0
      25840.0 | 1   0   0   0   0   0   0   0   0   0
      25920.0 | 1   0   0   0   0   0   0   0   0   0
      25922.6 | 1   0   0   0   0   0   0   0   0   0
      25922.7 | 1   0   0   0   0   0   0   0   0   0
      25922.8 | 1   0   0   0   0   0   0   0   0   0
      25924.3 | 1   0   0   0   0   0   0   0   0   0
      25924.9 | 1   1   0   0   0   0   0   0   0   0
      26000.0 | 1   1   0   0   0   0   0   0   0   0
      26080.0 | 1   1   0   0   0   0   0   0   0   0
      26082.9 | 1   0   0   0   0   0   0   0   0   0
      26083.4 | 0   0   0   0   0   0   0   0   0   0
      26084.7 | 1   0   0   0   0   0   0   0   0   0
      26085.0 | 1   1   0   0   0   0   0   0   0   0
      26160.0 | 1   1   0   0   0   0   0   0   0   0
      26240.0 | 1   1   0   0   0   0   0   0   0   0
      26243.0 | 1   0   0   0   0   0   0   0   0   0
      26243.2 | 0   0   0   0   0   0   0   0   0   0
      26244.9 | 0   1   0   0   0   0   0   0   0   0
      26245.2 | 1   1   0   0   0   0   0   0   0   0
      26320.0 | 1   1   0   0   0   0   0   0   0   0
      26400.0 | 1   1   0   0   0   0   0   0   0   0
      26403.4 | 1   0   0   0   0   0   0   0   0   0
      26404.8 | 1   1   0   0   0   0   0   0   0   0
      26480.0 | 1   1   0   0   0   0   0   0   0   0
      26560.0 | 1   1   0   0   0   0   0   0   0   0
      26563.3 | 1   0   0   0   0   0   0   0   0   0
      26563.9 | 0   0   0   0   0   0   0   0   0   0
      26566.1 | 1   0   0   0   0   0   0   0   0   0
      26566.4 | 1   1   0   0   0   0   0   0   0   0
      26640.0 | 1   1   0   0   0   0   0   0   0   0
      26720.0 | 1   1   1   0   0   0   0   0   0   0
      26721.2 | 1   0   1   0   0   0   0   0   0   0
      26723.2 | 0   0   1   0   0   0   0   0   0   0
      26724.9 | 0   1   1   0   0   0   0   0   0   0
      26725.2 | 1   1   1   0   0   0   0   0   0   0
      26800.0 | 1   1   1   0   0   0   0   0   0   0
      26880.0 | 1   1   0   0   0   0   0   0   0   0
      26883.4 | 1   0   0   0   0   0   0   0   0   0
      26884.8 | 1   1   0   0   0   0   0   0   0   0
      26960.0 | 1   1   0   0   0   0   0   0   0   0
      27040.0 | 1   1   0   0   0   0   0   0   0   0
      27043.3 | 1   0   0   0   0   0   0   0   0   0
      27043.9 | 0   0   0   0   0   0   0   0   0   0
      27046.1 | 1   0   0   0   0   0   0   0   0   0
      27046.4 | 1   1   0   0   0   0   0   0   0   0
      27120.0 | 1   1   0   0   0   0   0   0   0   0
      27200.0 | 1   1   0   0   0   0   0   0   0   0
      27203.0 | 1   0   0   0   0   0   0   0   0   0
      27203.2 | 0   0   0   0   0   0   0   0   0   0
      27204.9 | 0   1   0   0   0   0   0   0   0   0
      27205.2 | 1   1   0   0   0   0   0   0   0   0
      27280.0 | 1   1   0   0   0   0   0   0   0   0
      27360.0 | 1   1   0   0   0   0   0   0   0   0
      27363.4 | 1   0   0   0   0   0   0   0   0   0
      27364.8 | 1   1   0   0   0   0   0   0   0   0
      27440.0 | 1   1   0   0   0   0   0   0   0   0
      27520.0 | 1   1   1   0   0   0   0   0   0   0
      27523.3 | 1   0   1   0   0   0   0   0   0   0
      27523.9 | 0   0   1   0   0   0   0   0   0   0
      27526.1 | 1   0   1   0   0   0   0   0   0   0
      27600.0 | 1   0   1   0   0   0   0   0   0   0
      27680.0 | 1   0   0   0   0   0   0   0   0   0
      27680.9 | 1   1   0   0   0   0   0   0   0   0
      27683.3 | 1   0   0   0   0   0   0   0   0   0
      27683.5 | 0   0   0   0   0   0   0   0   0   0
      27687.9 | 1   0   0   0   0   0   0   0   0   0
      27760.0 | 1   0   0   0   0   0   0   0   0   0
      27840.0 | 1   0   0   0   0   0   0   0   0   0
      27842.8 | 1   0   0   0   0   0   0   0   0   0
      27920.0 | 1   0   0   0   0   0   0   0   0   0
      28000.0 | 1   0   0   0   0   0   0   0   0   0
      28002.4 | 1   0   0   0   0   0   0   0   0   0
      28003.8 | 1   0   0   0   0   0   0   0   0   0
      28080.0 | 1   0   0   0   0   0   0   0   0   0
      28160.0 | 1   0   0   0   0   0   0   0   0   0
      28240.0 | 1   0   0   0   0   0   0   0   0   0
      28320.0 | 1   0   0   0   0   0   0   0   0   0
      28400.0 | 1   0   0   0   0   0   0   0   0   0
      28480.0 | 1   0   0   0   0   0   0   0   0   0
      28560.0 | 1   0   0   0   0   0   0   0   0   0
      28640.0 | 1   0   0   0   0   0   0   0   0   0
      28642.9 | 1   0   0   0   0   0   0   0   0   0
      28645.4 | 1   0   0   0   0   0   0   0   0   0
      28648.4 | 1   0   0   0   0   0   0   0   0   0
      28649.5 | 1   0   0   0   0   0   0   0   0   0
      28720.0 | 1   0   0   0   0   0   0   0   0   0
      28800.0 | 1   0   0   0   0   0   0   0   0   0
      28880.0 | 1   0   0   0   0   0   0   0   0   0
      28960.0 | 1   0   0   0   0   0   0   0   0   0
      29040.0 | 1   0   0   0   0   0   0   0   0   0
      29120.0 | 1   0   0   0   0   0   0   0   0   0
      29200.0 | 1   0   0   0   0   0   0   0   0   0
      29280.0 | 1   0   0   0   0   0   0   0   0   0
      29360.0 | 1   0   0   0   0   0   0   0   0   0
      29440.0 | 1   0   0   0   0   0   0   0   0   0
      29442.1 | 1   0   0   0   0   0   0   0   0   0
      29520.0 | 1   0   0   0   0   0   0   0   0   0
      29600.0 | 1   0   0   0   0   0   0   0   0   0
      29603.1 | 1   0   0   0   0   0   0   0   0   0
      29603.5 | 1   0   0   0   0   0   0   0   0   0
      29680.0 | 1   0   0   0   0   0   0   0   0   0
      29760.0 | 1   0   0   0   0   0   0   0   0   0
      29840.0 | 1   0   0   0   0   0   0   0   0   0
      29920.0 | 1   0   0   0   0   0   0   0   0   0
      30000.0 | 1   0   0   0   0   0   0   0   0   0
      30080.0 | 1   0   0   0   0   0   0   0   0   0
      30160.0 | 1   0   0   0   0   0   0   0   0   0
      30240.0 | 1   0   0   0   0   0   0   0   0   0
      30320.0 | 1   0   0   0   0   0   0   0   0   0
      30400.0 | 1   0   0   0   0   0   0   0   0   0
      30403.0 | 1   0   0   0   0   0   0   0   0   0
      30403.6 | 1   0   0   0   0   0   0   0   0   0
      30480.0 | 1   0   0   0   0   0   0   0   0   0
      30560.0 | 1   0   0   0   0   0   0   0   0   0
      30562.2 | 1   0   0   0   0   0   0   0   0   0
      30562.6 | 1   0   0   0   0   0   0   0   0   0
      30562.8 | 1   0   0   0   0   0   0   0   0   0
      30563.1 | 1   0   0   0   0   0   0   0   0   0
      30563.2 | 1   0   0   0   0   0   0   0   0   0
      30563.4 | 1   0   0   0   0   0   0   0   0   0
      30564.9 | 1   1   0   0   0   0   0   0   0   0
      30640.0 | 1   1   0   0   0   0   0   0   0   0
      30720.0 | 1   1   0   0   0   0   0   0   0   0
      30722.9 | 1   0   0   0   0   0   0   0   0   0
      30723.4 | 0   0   0   0   0   0   0   0   0   0
      30724.7 | 1   0   0   0   0   0   0   0   0   0
      30725.0 | 1   1   0   0   0   0   0   0   0   0
      30800.0 | 1   1   0   0   0   0   0   0   0   0
      30880.0 | 1   1   0   0   0   0   0   0   0   0
      30883.0 | 1   0   0   0   0   0   0   0   0   0
      30883.2 | 0   0   0   0   0   0   0   0   0   0
      30884.9 | 0   1   0   0   0   0   0   0   0   0
      30885.2 | 1   1   0   0   0   0   0   0   0   0
      30960.0 | 1   1   0   0   0   0   0   0   0   0
      31040.0 | 1   1   0   0   0   0   0   0   0   0
      31043.4 | 1   0   0   0   0   0   0   0   0   0
      31044.8 | 1   1   0   0   0   0   0   0   0   0
      31120.0 | 1   1   0   0   0   0   0   0   0   0
      31200.0 | 1   1   0   0   0   0   0   0   0   0
      31203.3 | 1   0   0   0   0   0   0   0   0   0
      31203.9 | 0   0   0   0   0   0   0   0   0   0
      31206.1 | 1   0   0   0   0   0   0   0   0   0
      31206.4 | 1   1   0   0   0   0   0   0   0   0
      31280.0 | 1   1   0   0   0   0   0   0   0   0
      31360.0 | 1   1   1   0   0   0   0   0   0   0
      31361.2 | 1   0   1   0   0   0   0   0   0   0
      31363.2 | 0   0   1   0   0   0   0   0   0   0
      31364.9 | 0   1   1   0   0   0   0   0   0   0
      31365.2 | 1   1   1   0   0   0   0   0   0   0
      31440.0 | 1   1   1   0   0   0   0   0   0   0
      31520.0 | 1   1   0   0   0   0   0   0   0   0
      31523.4 | 1   0   0   0   0   0   0   0   0   0
      31524.8 | 1   1   0   0   0   0   0   0   0   0
      31600.0 | 1   1   0   0   0   0   0   0   0   0
      31680.0 | 1   1   0   0   0   0   0   0   0   0
      31683.3 | 1   0   0   0   0   0   0   0   0   0
      31683.9 | 0   0   0   0   0   0   0   0   0   0
      31686.1 | 1   0   0   0   0   0   0   0   0   0
      31686.4 | 1   1   0   0   0   0   0   0   0   0
      31760.0 | 1   1   0   0   0   0   0   0   0   0
      31840.0 | 1   1   0   0   0   0   0   0   0   0
      31843.0 | 1   0   0   0   0   0   0   0   0   0
      31843.2 | 0   0   0   0   0   0   0   0   0   0
      31844.9 | 0   1   0   0   0   0   0   0   0   0
      31845.2 | 1   1   0   0   0   0   0   0   0   0
      31920.0 | 1   1   0   0   0   0   0   0   0   0
      32000.0 | 1   1   0   0   0   0   0   0   0   0
      32003.4 | 1   0   0   0   0   0   0   0   0   0
      32004.8 | 1   1   0   0   0   0   0   0   0   0
      32080.0 | 1   1   0   0   0   0   0   0   0   0
      32160.0 | 1   1   1   0   0   0   0   0   0   0
      32163.3 | 1   0   1   0   0   0   0   0   0   0
      32163.9 | 0   0   1   0   0   0   0   0   0   0
      32166.1 | 1   0   1   0   0   0   0   0   0   0
      32240.0 | 1   0   1   0   0   0   0   0   0   0
      32320.0 | 1   0   0   0   0   0   0   0   0   0
      32320.9 | 1   1   0   0   0   0   0   0   0   0
      32323.3 | 1   0   0   0   0   0   0   0   0   0
      32323.5 | 0   0   0   0   0   0   0   0   0   0
      32327.9 | 1   0   0   0   0   0   0   0   0   0
      32400.0 | 1   0   0   0   0   0   0   0   0   0
      32480.0 | 1   0   0   0   0   0   0   0   0   0
      32482.8 | 1   0   0   0   0   0   0   0   0   0
      32560.0 | 1   0   0   0   0   0   0   0   0   0
      32640.0 | 1   0   0   0   0   0   0   0   0   0
      32642.4 | 1   0   0   0   0   0   0   0   0   0
      32643.8 | 1   0   0   0   0   0   0   0   0   0
      32720.0 | 1   0   0   0   0   0   0   0   0   0
      32800.0 | 1   0   0   0   0   0   0   0   0   0
      32880.0 | 1   0   0   0   0   0   0   0   0   0
      32960.0 | 1   0   0   0   0   0   0   0   0   0
      33040.0 | 1   0   0   0   0   0   0   0   0   0
      33120.0 | 1   0   0   0   0   0   0   0   0   0
      33200.0 | 1   0   0   0   0   0   0   0   0   0
      33280.0 | 1   0   0   0   0   0   0   0   0   0
      33282.9 | 1   0   0   0   0   0   0   0   0   0
      33285.4 | 1   0   0   0   0   0   0   0   0   0
      33288.8 | 1   0   0   0   0   0   0   0   0   0
      33360.0 | 1   0   0   0   0   0   0   0   0   0
      33440.0 | 1   0   0   0   0   0   0   0   0   0
      33520.0 | 1   0   0   0   0   0   0   0   0   0
      33600.0 | 1   0   0   0   0   0   0   0   0   0
      33680.0 | 1   0   0   0   0   0   0   0   0   0
      33760.0 | 1   0   0   0   0   0   0   0   0   0
      33840.0 | 1   0   0   0   0   0   0   0   0   0
      33920.0 | 1   0   0   0   0   0   0   0   0   0
      34000.0 | 1   0   0   0   0   0   0   0   0   0
      34080.0 | 1   0   0   0   0   0   0   0   0   0
      34082.1 | 1   0   0   0   0   0   0   0   0   0
      34160.0 | 1   0   0   0   0   0   0   0   0   0
      34240.0 | 1   0   0   0   0   0   0   0   0   0
      34243.1 | 1   0   0   0   0   0   0   0   0   0
      34243.5 | 1   0   0   0   0   0   0   0   0   0
      34320.0 | 1   0   0   0   0   0   0   0   0   0
      34400.0 | 1   0   0   0   0   0   0   0   0   0
      34480.0 | 1   0   0   0   0   0   0   0   0   0
      34560.0 | 1   0   0   0   0   0   0   0   0   0
      34640.0 | 1   0   0   0   0   0   0   0   0   0
      34720.0 | 1   0   0   0   0   0   0   0   0   0
      34800.0 | 1   0   0   0   0   0   0   0   0   0
      34880.0 | 1   0   0   0   0   0   0   0   0   0
      34960.0 | 1   0   0   0   0   0   0   0   0   0
      35040.0 | 1   0   0   0   0   0   0   0   0   0
      35043.0 | 1   0   0   0   0   0   0   0   0   0
      35043.6 | 1   0   0   0   0   0   0   0   0   0
      35120.0 | 1   0   0   0   0   0   0   0   0   0
      35200.0 | 1   0   0   0   0   0   0   0   0   0
      35202.6 | 1   0   0   0   0   0   0   0   0   0
      35202.7 | 1   0   0   0   0   0   0   0   0   0
      35202.8 | 1   0   0   0   0   0   0   0   0   0
      35204.3 | 1   0   0   0   0   0   0   0   0   0
      35204.9 | 1   1   0   0   0   0   0   0   0   0
      35280.0 | 1   1   0   0   0   0   0   0   0   0
      35360.0 | 1   1   0   0   0   0   0   0   0   0
      35362.9 | 1   0   0   0   0   0   0   0   0   0
      35363.4 | 0   0   0   0   0   0   0   0   0   0
      35364.7 | 1   0   0   0   0   0   0   0   0   0
      35365.0 | 1   1   0   0   0   0   0   0   0   0
      35440.0 | 1   1   0   0   0   0   0   0   0   0
      35520.0 | 1   1   0   0   0   0   0   0   0   0
      35523.0 | 1   0   0   0   0   0   0   0   0   0
      35523.2 | 0   0   0   0   0   0   0   0   0   0
      35524.9 | 0   1   0   0   0   0   0   0   0   0
      35525.2 | 1   1   0   0   0   0   0   0   0   0
      35600.0 | 1   1   0   0   0   0   0   0   0   0
      35680.0 | 1   1   0   0   0   0   0   0   0   0
      35683.4 | 1   0   0   0   0   0   0   0   0   0
      35684.8 | 1   1   0   0   0   0   0   0   0   0
      35760.0 | 1   1   0   0   0   0   0   0   0   0
      35840.0 | 1   1   0   0   0   0   0   0   0   0
      35843.3 | 1   0   0   0   0   0   0   0   0   0
      35843.9 | 0   0   0   0   0   0   0   0   0   0
      35846.1 | 1   0   0   0   0   0   0   0   0   0
      35846.4 | 1   1   0   0   0   0   0   0   0   0
      35920.0 | 1   1   0   0   0   0   0   0   0   0
      36000.0 | 1   1   1   0   0   0   0   0   0   0
      36001.2 | 1   0   1   0   0   0   0   0   0   0
      36003.2 | 0   0   1   0   0   0   0   0   0   0
      36004.9 | 0   1   1   0   0   0   0   0   0   0
      36005.2 | 1   1   1   0   0   0   0   0   0   0
      36080.0 | 1   1   1   0   0   0   0   0   0   0
      36160.0 | 1   1   0   0   0   0   0   0   0   0
      36163.4 | 1   0   0   0   0   0   0   0   0   0
      36164.8 | 1   1   0   0   0   0   0   0   0   0
      36240.0 | 1   1   0   0   0   0   0   0   0   0
      36320.0 | 1   1   0   0   0   0   0   0   0   0
      36323.3 | 1   0   0   0   0   0   0   0   0   0
      36323.9 | 0   0   0   0   0   0   0   0   0   0
      36326.1 | 1   0   0   0   0   0   0   0   0   0
      36326.4 | 1   1   0   0   0   0   0   0   0   0
      36400.0 | 1   1   0   0   0   0   0   0   0   0
      36480.0 | 1   1   0   0   0   0   0   0   0   0
      36483.0 | 1   0   0   0   0   0   0   0   0   0
      36483.2 | 0   0   0   0   0   0   0   0   0   0
      36484.9 | 0   1   0   0   0   0   0   0   0   0
      36485.2 | 1   1   0   0   0   0   0   0   0   0
      36560.0 | 1   1   0   0   0   0   0   0   0   0
      36640.0 | 1   1   0   0   0   0   0   0   0   0
      36643.4 | 1   0   0   0   0   0   0   0   0   0
      36644.8 | 1   1   0   0   0   0   0   0   0   0
      36720.0 | 1   1   0   0   0   0   0   0   0   0
      36800.0 | 1   1   1   0   0   0   0   0   0   0
      36803.3 | 1   0   1   0   0   0   0   0   0   0
      36803.9 | 0   0   1   0   0   0   0   0   0   0
      36806.1 | 1   0   1   0   0   0   0   0   0   0
      36880.0 | 1   0   1   0   0   0   0   0   0   0
      36960.0 | 1   0   0   0   0   0   0   0   0   0
      36960.9 | 1   1   0   0   0   0   0   0   0   0
      36963.3 | 1   0   0   0   0   0   0   0   0   0
      36963.5 | 0   0   0   0   0   0   0   0   0   0
      36967.9 | 1   0   0   0   0   0   0   0   0   0
      37040.0 | 1   0   0   0   0   0   0   0   0   0
      37120.0 | 1   0   0   0   0   0   0   0   0   0
      37122.8 | 1   0   0   0   0   0   0   0   0   0
      37200.0 | 1   0   0   0   0   0   0   0   0   0
      37280.0 | 1   0   0   0   0   0   0   0   0   0
      37282.4 | 1   0   0   0   0   0   0   0   0   0
      37283.8 | 1   0   0   0   0   0   0   0   0   0
      37360.0 | 1   0   0   0   0   0   0   0   0   0
      37440.0 | 1   0   0   0   0   0   0   0   0   0
      37520.0 | 1   0   0   0   0   0   0   0   0   0
      37600.0 | 1   0   0   0   0   0   0   0   0   0
      37680.0 | 1   0   0   0   0   0   0   0   0   0
      37760.0 | 1   0   0   0   0   0   0   0   0   0
      37840.0 | 1   0   0   0   0   0   0   0   0   0
      37920.0 | 1   0   0   0   0   0   0   0   0   0
      37922.9 | 1   0   0   0   0   0   0   0   0   0
      37925.4 | 1   0   0   0   0   0   0   0   0   0
      37928.4 | 1   0   0   0   0   0   0   0   0   0
      37928.9 | 1   0   0   0   0   0   0   0   0   0
      37929.0 | 1   0   0   0   0   0   0   0   0   0
      37929.5 | 1   0   0   0   0   0   0   0   0   0
      38000.0 | 1   0   0   0   0   0   0   0   0   0
      38080.0 | 1   0   0   0   0   0   0   0   0   0
      38160.0 | 1   0   0   0   0   0   0   0   0   0
      38240.0 | 1   0   0   0   0   0   0   0   0   0
      38320.0 | 1   0   0   0   0   0   0   0   0   0
      38400.0 | 1   0   0   0   0   0   0   0   0   0
      38480.0 | 1   0   0   0   0   0   0   0   0   0
      38560.0 | 1   0   0   0   0   0   0   0   0   0
      38640.0 | 1   0   0   0   0   0   0   0   0   0
      38720.0 | 1   0   0   0   0   0   0   0   0   0
      38722.1 | 1   0   0   0   0   0   0   0   0   0
      38800.0 | 1   0   0   0   0   0   0   0   0   0
      38880.0 | 1   0   0   0   0   0   0   0   0   0
      38883.1 | 1   0   0   0   0   0   0   0   0   0
      38883.5 | 1   0   0   0   0   0   0   0   0   0
      38960.0 | 1   0   0   0   0   0   0   0   0   0
      39040.0 | 1   0   0   0   0   0   0   0   0   0
      39120.0 | 1   0   0   0   0   0   0   0   0   0
      39200.0 | 1   0   0   0   0   0   0   0   0   0
